storm_id,issues
1950126N09151,无ERA5
1950174N19127,"纬度越界, 无ERA5"
1950195N17139,无ERA5
1950196N21144,无ERA5
1950206N22143,无ERA5
1950221N19124,无ERA5
1950241N23140,"纬度越界, 无ERA5"
1950247N15145,"纬度越界, 无ERA5"
1950255N14153,无ERA5
1950256N14137,"纬度越界, 速度异常(158km/h), 无ERA5"
1950269N05153,无ERA5
1950291N20146,无ERA5
1950301N09138,"纬度越界, 无ERA5"
1950305N12145,无ERA5
1950308N13151,无ERA5
1950322N06138,无ERA5
1950360N10141,无ERA5
1951077N06158,无ERA5
1951105N08152,无ERA5
1951119N06145,无ERA5
1951124N04167,"纬度越界, 无ERA5"
1951177N12136,无ERA5
1951206N11145,无ERA5
1951223N11148,"纬度越界, 无ERA5"
1951239N11144,无ERA5
1951255N08148,无ERA5
1951263N08137,"纬度越界, 无ERA5"
1951281N11147,"纬度越界, 无ERA5"
1951295N21152,"经度越界, 速度异常(10247km/h), 无ERA5"
1951300N13155,"经度越界, 速度异常(10441km/h), 无ERA5"
1951301N16128,"经度越界, 速度异常(10232km/h), 无ERA5"
1951321N09143,无ERA5
1951337N09150,无ERA5
1951344N09143,"纬度越界, 速度异常(170km/h), 无ERA5"
1952162N15118,无ERA5
1952171N12130,"纬度越界, 经度越界, 速度异常(8765km/h), 无ERA5"
1952180N05144,无ERA5
1952191N23124,无ERA5
1952197N27130,无ERA5
1952206N09134,无ERA5
1952215N13131,无ERA5
1952217N15127,"经度越界, 速度异常(10746km/h), 无ERA5"
1952224N14135,"纬度越界, 经度越界, 速度异常(7932km/h), 无ERA5"
1952236N10135,无ERA5
1952241N08137,无ERA5
1952245N09139,无ERA5
1952258N18178,"纬度越界, 经度越界, 速度异常(8971km/h), 无ERA5"
1952269N11157,无ERA5
1952278N22140,无ERA5
1952287N09148,无ERA5
1952288N10118,无ERA5
1952289N15128,"经度越界, 无ERA5"
1952296N06152,无ERA5
1952303N09149,"经度越界, 速度异常(10170km/h), 无ERA5"
1952312N08150,无ERA5
1952321N10146,"经度越界, 速度异常(10461km/h), 无ERA5"
1952326N07144,无ERA5
1952348N08129,无ERA5
1952352N07147,无ERA5
