case_key,storm_id,aggregation,sample_count,mean_error_km,fde_6h_km,fde_12h_km,fde_18h_km,fde_24h_km,fde_30h_km,fde_36h_km,fde_42h_km,fde_48h_km,fde_54h_km,fde_60h_km,fde_66h_km,fde_72h_km
1950305N12145::forecast_start=55,1950305N12145,ensemble_average,20,110.747,67.014,95.566,61.741,63.684,72.71,131.761,73.609,66.591,135.259,132.59,175.806,252.637
1951119N06145::forecast_start=59,1951119N06145,ensemble_average,20,1208.434,31.363,124.386,325.128,548.057,873.251,1181.636,1388.437,1625.186,1824.987,2070.719,2282.837,2225.227
1951124N04167::forecast_start=52,1951124N04167,ensemble_average,20,296.459,38.121,53.724,25.17,109.243,144.613,271.683,355.121,463.251,577.614,571.133,439.538,508.294
1952206N09134::forecast_start=35,1952206N09134,ensemble_average,20,684.691,85.133,144.485,274.897,408.282,409.839,387.389,586.906,792.81,994.892,1199.662,1379.987,1552.012
1953205N17158::forecast_start=45,1953205N17158,ensemble_average,20,125.207,66.572,91.827,87.714,86.656,56.596,214.449,169.016,125.557,111.764,115.315,144.508,232.503
1954307N04148::forecast_start=43,1954307N04148,ensemble_average,20,205.616,77.615,136.958,203.332,269.355,233.228,239.846,214.282,171.584,129.277,177.862,261.844,352.207
1955186N10147::forecast_start=51,1955186N10147,ensemble_average,20,190.436,75.429,111.651,165.29,214.17,111.105,160.566,169.871,173.536,184.014,247.803,285.256,386.54
1957168N05156::forecast_start=46,1957168N05156,ensemble_average,20,133.337,84.683,114.566,168.688,225.763,184.994,152.134,141.118,120.449,111.796,133.529,125.647,36.68
1958293N12128::forecast_start=39,1958293N12128,ensemble_average,20,593.036,49.359,66.824,116.007,196.773,327.884,544.318,663.38,755.944,839.787,1000.8,1171.328,1384.032
1960199N17129::forecast_start=60,1960199N17129,ensemble_average,20,324.238,72.968,103.96,136.73,163.435,269.627,380.053,405.971,403.695,397.159,427.781,522.81,606.662
1960231N22117::forecast_start=40,1960231N22117,ensemble_average,20,632.77,89.648,156.15,327.256,436.02,519.607,590.534,643.778,693.489,778.559,926.159,1105.117,1326.922
1961014N07141::forecast_start=31,1961014N07141,ensemble_average,20,547.122,57.706,51.832,124.787,189.201,402.55,606.829,688.041,767.852,841.741,902.0,953.642,979.277
1961204N12147::forecast_start=57,1961204N12147,ensemble_average,20,388.701,65.652,74.17,123.28,230.073,249.6,251.68,394.973,515.554,626.242,716.117,741.813,675.26
1962217N10142::forecast_start=33,1962217N10142,ensemble_average,20,126.844,74.736,111.394,99.256,199.709,43.082,111.381,171.614,244.384,234.762,118.763,48.532,64.518
1963190N15149::forecast_start=57,1963190N15149,ensemble_average,20,128.712,77.331,98.992,68.23,121.026,73.558,116.305,87.414,88.261,85.802,206.7,286.929,233.995
1964143N13112::forecast_start=39,1964143N13112,ensemble_average,20,177.098,50.555,49.352,34.41,13.124,85.966,216.081,201.004,199.148,248.284,285.564,330.565,411.124
1966130N06139::forecast_start=49,1966130N06139,ensemble_average,20,148.781,45.991,88.017,87.643,88.311,97.303,236.141,206.947,147.143,113.515,154.672,209.156,310.538
1966204N16116::forecast_start=21,1966204N16116,ensemble_average,20,137.924,78.056,72.091,15.126,82.243,56.322,128.66,61.334,64.648,108.066,172.621,331.912,484.012
1966210N11113::forecast_start=21,1966210N11113,ensemble_average,20,1957.234,171.028,1941.016,2010.916,2068.888,2217.519,2244.542,2226.94,2185.095,2154.721,2143.846,2073.946,2048.351
