case_key,storm_id,aggregation,sample_count,mean_error_km,fde_6h_km,fde_12h_km,fde_18h_km,fde_24h_km,fde_30h_km,fde_36h_km,fde_42h_km,fde_48h_km,fde_54h_km,fde_60h_km,fde_66h_km,fde_72h_km
1950305N12145::forecast_start=55,1950305N12145,ensemble_average,20,328.884,23.443,81.472,203.125,232.11,229.083,244.458,322.269,386.482,396.974,443.141,602.591,781.463
1951119N06145::forecast_start=59,1951119N06145,ensemble_average,20,442.128,17.742,47.427,101.93,104.713,203.752,294.408,410.613,515.653,620.767,766.587,978.488,1243.455
1951124N04167::forecast_start=52,1951124N04167,ensemble_average,20,526.862,37.283,106.754,220.82,285.491,356.851,465.272,600.945,737.603,849.365,879.177,802.303,980.487
1952206N09134::forecast_start=35,1952206N09134,ensemble_average,20,591.781,81.695,138.531,147.372,178.964,329.924,507.95,624.682,747.528,894.058,1055.425,1155.351,1239.89
1953205N17158::forecast_start=45,1953205N17158,ensemble_average,20,184.437,62.448,107.678,110.789,128.729,206.66,293.712,260.031,217.879,287.938,282.187,158.88,96.312
1954307N04148::forecast_start=43,1954307N04148,ensemble_average,20,86.311,34.328,35.944,28.775,9.629,44.063,113.387,127.415,146.076,114.804,103.807,110.38,167.128
1955186N10147::forecast_start=51,1955186N10147,ensemble_average,20,216.349,2.697,16.836,33.574,42.813,86.247,158.24,260.737,306.223,330.855,378.094,446.225,533.648
1957168N05156::forecast_start=46,1957168N05156,ensemble_average,20,137.499,9.437,15.254,54.219,77.493,76.366,117.677,151.635,164.002,145.651,146.442,246.556,445.258
1958293N12128::forecast_start=39,1958293N12128,ensemble_average,20,396.218,10.597,16.749,16.684,87.159,165.882,278.701,380.04,516.806,628.236,774.279,880.092,999.387
1960199N17129::forecast_start=60,1960199N17129,ensemble_average,20,130.09,10.977,28.3,44.126,36.988,68.308,106.98,161.199,175.077,171.513,169.452,227.76,360.398
1960231N22117::forecast_start=40,1960231N22117,ensemble_average,20,478.688,11.366,61.103,218.143,309.338,334.773,348.594,333.107,449.423,692.275,947.579,1042.438,996.116
1961014N07141::forecast_start=31,1961014N07141,ensemble_average,20,617.05,58.827,164.826,269.839,370.669,464.166,581.638,718.223,815.244,802.564,799.28,1013.556,1345.772
1961204N12147::forecast_start=57,1961204N12147,ensemble_average,20,255.161,27.103,20.152,58.679,113.298,166.871,235.054,340.049,407.494,380.339,372.619,433.143,507.133
1962217N10142::forecast_start=33,1962217N10142,ensemble_average,20,298.897,13.704,49.471,207.054,236.349,302.732,402.254,474.08,508.03,422.347,389.631,343.043,238.065
1963190N15149::forecast_start=57,1963190N15149,ensemble_average,20,181.113,11.669,64.544,141.171,159.12,108.026,46.715,32.833,137.776,257.962,355.174,443.176,415.186
1964143N13112::forecast_start=39,1964143N13112,ensemble_average,20,266.348,16.517,57.727,110.578,136.625,188.398,269.45,343.25,335.272,334.539,359.642,447.293,596.879
1966130N06139::forecast_start=49,1966130N06139,ensemble_average,20,243.53,32.04,54.52,153.423,163.941,152.264,159.247,201.72,256.953,284.411,350.867,469.313,643.661
1966204N16116::forecast_start=21,1966204N16116,ensemble_average,20,147.957,30.665,70.722,182.651,206.691,214.481,155.524,170.46,130.461,108.899,136.006,167.464,201.457
1966230N27132::forecast_start=46,1966230N27132,ensemble_average,20,326.253,11.848,19.442,42.371,116.803,208.387,297.194,332.537,362.143,420.858,530.889,693.426,879.135
1966261N13158::forecast_start=38,1966261N13158,ensemble_average,20,1020.991,48.321,80.818,137.332,299.983,510.52,795.783,1101.797,1390.911,1705.67,1996.103,2096.334,2088.324
1967128N06137::forecast_start=19,1967128N06137,ensemble_average,20,410.539,17.129,107.119,165.685,185.19,191.933,218.964,265.44,444.833,597.325,768.157,912.362,1052.336
1968203N18119::forecast_start=33,1968203N18119,ensemble_average,20,777.93,54.19,195.487,354.539,487.666,565.737,677.909,848.295,988.226,1041.634,1116.715,1330.012,1674.75
1968266N06142::forecast_start=47,1968266N06142,ensemble_average,20,114.362,10.549,24.828,65.113,54.465,80.138,127.519,142.919,141.005,152.943,174.053,180.482,218.326
1968314N08138::forecast_start=59,1968314N08138,ensemble_average,20,189.317,10.816,8.335,57.823,125.326,181.732,161.16,115.153,117.155,247.615,388.681,439.136,418.87
1969216N09143::forecast_start=35,1969216N09143,ensemble_average,20,135.48,26.962,127.569,109.441,110.867,135.574,160.766,91.024,12.258,74.675,139.93,241.357,395.342
1970215N21137::forecast_start=31,1970215N21137,ensemble_average,20,276.928,57.204,81.173,54.51,84.051,147.429,229.247,242.269,245.875,354.357,494.388,626.655,705.977
1970262N13175::forecast_start=48,1970262N13175,ensemble_average,20,532.265,34.046,81.676,156.42,210.64,307.494,435.189,566.215,678.171,747.784,850.321,1037.915,1281.31
1971216N11143::forecast_start=49,1971216N11143,ensemble_average,20,513.67,54.257,85.453,162.476,285.317,422.125,581.34,755.797,779.385,748.229,742.466,743.304,803.892
1972187N11126::forecast_start=48,1972187N11126,ensemble_average,20,138.894,27.546,78.142,109.048,125.852,125.896,106.463,92.179,118.302,134.525,183.323,229.36,336.087
1972189N11171::forecast_start=65,1972189N11171,ensemble_average,20,278.286,67.063,128.438,207.059,272.383,310.445,376.9,392.335,381.232,352.413,313.218,278.968,258.982
1972202N11165::forecast_start=39,1972202N11165,ensemble_average,20,803.482,95.44,186.398,270.583,455.356,682.868,913.67,1071.417,1109.681,1146.474,1197.632,1228.767,1283.493
1973197N20136::forecast_start=51,1973197N20136,ensemble_average,20,348.516,27.279,80.518,106.691,243.363,342.294,406.617,452.279,484.005,564.509,613.47,524.913,336.251
1973253N14129::forecast_start=25,1973253N14129,ensemble_average,20,235.963,6.515,15.828,12.752,103.591,183.026,293.779,255.584,293.896,344.8,398.351,435.435,487.992
1975237N23154::forecast_start=42,1975237N23154,ensemble_average,20,400.539,28.164,32.809,64.194,192.745,297.373,358.016,430.569,514.147,642.929,772.685,792.369,680.464
1976309N05160::forecast_start=41,1976309N05160,ensemble_average,20,609.119,18.464,73.347,145.902,246.771,376.735,511.835,699.828,813.809,859.436,941.86,1158.487,1462.951
1977082N03165::forecast_start=37,1977082N03165,ensemble_average,20,281.087,29.81,90.24,194.272,194.888,188.034,196.713,285.316,331.456,312.228,355.984,494.064,700.044
1977308N07156::forecast_start=53,1977308N07156,ensemble_average,20,210.342,27.705,72.001,193.781,193.783,158.998,126.284,184.711,237.759,246.304,277.947,347.308,457.52
1978240N20130::forecast_start=41,1978240N20130,ensemble_average,20,483.947,46.86,96.725,103.801,268.754,390.411,425.924,518.463,636.483,756.963,912.499,884.23,766.251
1979228N11151::forecast_start=47,1979228N11151,ensemble_average,20,119.46,43.129,81.411,138.76,200.518,188.019,138.136,111.322,85.851,96.044,87.029,84.618,178.68
