case_key,storm_id,aggregation,sample_count,mean_error_km,fde_6h_km,fde_12h_km,fde_18h_km,fde_24h_km,fde_30h_km,fde_36h_km,fde_42h_km,fde_48h_km,fde_54h_km,fde_60h_km,fde_66h_km,fde_72h_km
2019050N05163::forecast_start=48,2019050N05163,ensemble_average,20,157.422,1.555,25.596,65.033,64.761,90.723,114.411,165.987,198.502,215.434,227.77,301.493,417.795
2019195N13136::forecast_start=41,2019195N13136,ensemble_average,20,184.752,24.488,52.22,84.025,83.303,101.517,168.748,302.902,315.08,326.045,329.134,273.623,155.941
2019205N23137::forecast_start=22,2019205N23137,ensemble_average,20,339.907,65.776,39.055,111.812,257.973,290.657,415.139,525.256,552.619,483.567,419.541,446.349,471.135
2019210N16117::forecast_start=37,2019210N16117,ensemble_average,20,146.26,8.887,13.967,28.329,39.99,58.061,101.53,81.731,125.502,226.816,335.266,399.891,335.152
2019213N17155::forecast_start=44,2019213N17155,ensemble_average,20,447.444,49.035,77.09,126.432,219.63,333.693,492.512,659.526,695.325,637.924,613.246,621.013,843.899
2019214N15134::forecast_start=49,2019214N15134,ensemble_average,20,178.157,9.671,42.174,53.741,92.635,128.457,213.683,238.949,223.659,208.986,232.297,312.163,381.469
2019216N16147::forecast_start=52,2019216N16147,ensemble_average,20,71.727,22.083,58.416,119.748,96.152,50.93,39.331,43.754,68.728,83.237,117.187,78.152,83.002
2019231N13135::forecast_start=35,2019231N13135,ensemble_average,20,182.475,19.025,19.895,54.493,75.198,133.257,191.502,198.206,218.719,273.647,324.629,348.771,332.359
2019236N08143::forecast_start=31,2019236N08143,ensemble_average,20,237.816,36.114,128.037,349.786,200.562,89.337,108.871,80.557,120.016,219.826,372.156,502.325,646.202
2019242N14180::forecast_start=49,2019242N14180,ensemble_average,20,525.949,47.076,98.824,144.07,243.058,414.264,567.851,629.431,697.361,778.021,850.736,898.695,941.996
2019242N18126::forecast_start=38,2019242N18126,ensemble_average,20,255.242,42.319,81.613,99.608,119.921,126.401,238.873,379.581,431.8,323.376,225.598,384.231,609.586
2019255N09162::forecast_start=17,2019255N09162,ensemble_average,20,504.508,35.785,93.044,181.499,248.705,275.159,407.895,507.964,649.657,741.089,870.147,974.73,1068.42
2019260N20129::forecast_start=29,2019260N20129,ensemble_average,20,542.853,83.541,147.77,167.617,148.965,240.351,363.748,523.65,589.393,731.477,990.564,1197.254,1329.906
2019268N10155::forecast_start=45,2019268N10155,ensemble_average,20,492.926,75.799,196.054,255.991,332.277,440.117,570.628,607.93,629.485,657.314,675.77,713.073,760.675
2019278N16165::forecast_start=44,2019278N16165,ensemble_average,20,292.651,48.166,81.809,86.616,79.538,179.73,296.873,364.822,381.908,442.386,483.392,502.263,564.311
2019288N16136::forecast_start=33,2019288N16136,ensemble_average,20,761.642,14.38,80.834,173.017,272.198,451.632,613.125,905.557,1133.599,1254.827,1313.259,1417.104,1510.172
2019290N08169::forecast_start=39,2019290N08169,ensemble_average,20,506.935,52.344,69.235,166.027,252.73,326.353,437.416,540.878,616.16,699.26,812.493,972.921,1137.407
2019306N10162::forecast_start=39,2019306N10162,ensemble_average,20,357.846,43.718,67.314,70.214,71.425,121.741,236.654,415.374,497.881,618.823,665.439,686.888,798.678
2019308N13114::forecast_start=35,2019308N13114,ensemble_average,20,235.805,17.939,49.359,87.366,169.565,249.156,306.498,292.22,289.077,370.56,417.838,349.441,230.642
2019314N12172::forecast_start=39,2019314N12172,ensemble_average,20,920.543,48.266,107.784,203.429,292.374,444.192,612.285,875.101,1135.493,1396.469,1688.332,2027.15,2215.644
2019314N14136::forecast_start=50,2019314N14136,ensemble_average,20,169.869,27.563,49.937,75.385,54.456,98.82,185.083,228.417,212.168,234.577,260.657,232.3,379.064
2019322N11144::forecast_start=36,2019322N11144,ensemble_average,20,339.446,32.812,77.204,108.667,134.824,148.727,186.145,341.991,467.007,453.55,485.6,682.157,954.668
2019329N09160::forecast_start=48,2019329N09160,ensemble_average,20,136.646,32.243,84.548,85.26,83.656,147.188,235.046,196.075,144.762,156.91,199.634,169.039,105.388
2019354N05151::forecast_start=42,2019354N05151,ensemble_average,20,233.916,19.673,52.873,156.676,102.005,83.578,78.071,206.9,307.364,354.472,406.078,475.352,563.953
2020129N07134::forecast_start=43,2020129N07134,ensemble_average,20,225.727,9.088,16.93,12.122,49.276,125.278,224.401,208.027,253.707,335.954,432.769,490.813,550.355
2020160N10133::forecast_start=29,2020160N10133,ensemble_average,20,232.549,53.815,59.961,61.109,90.343,177.185,270.134,290.753,307.431,322.852,349.661,368.847,438.492
2020211N14124::forecast_start=17,2020211N14124,ensemble_average,20,162.095,13.705,6.948,66.081,98.998,74.911,169.453,157.098,165.633,174.251,262.726,361.122,394.211
2020213N15131::forecast_start=49,2020213N15131,ensemble_average,20,581.752,140.699,259.365,269.598,242.948,374.251,601.882,838.3,887.53,869.64,895.705,852.905,748.198
2020220N14128::forecast_start=37,2020220N14128,ensemble_average,20,323.86,105.101,139.806,210.689,249.731,226.868,291.281,322.314,294.709,220.362,350.917,601.091,873.457
2020229N18123::forecast_start=23,2020229N18123,ensemble_average,20,158.04,18.823,43.41,140.267,214.743,195.6,198.012,194.701,204.008,123.044,187.587,153.362,222.927
2020234N19123::forecast_start=40,2020234N19123,ensemble_average,20,618.485,14.103,56.115,135.885,302.529,518.187,771.801,1018.277,1116.239,1088.275,899.571,782.685,718.151
2020239N13134::forecast_start=48,2020239N13134,ensemble_average,20,684.324,39.695,107.465,200.878,257.48,361.25,505.765,714.754,912.896,1100.761,1281.952,1370.274,1358.721
2020244N25146::forecast_start=45,2020244N25146,ensemble_average,20,548.637,14.644,35.955,136.457,208.7,289.199,411.849,543.53,698.396,908.38,981.756,1151.881,1202.897
2020258N11127::forecast_start=17,2020258N11127,ensemble_average,20,390.905,13.437,20.141,35.896,69.33,167.52,269.141,308.768,427.964,670.777,796.433,907.972,1003.479
2020263N21136::forecast_start=44,2020263N21136,ensemble_average,20,605.472,51.273,80.284,209.81,373.015,557.195,716.035,839.708,849.125,844.225,847.092,868.769,1029.129
2020270N17159::forecast_start=29,2020270N17159,ensemble_average,20,766.343,73.209,67.588,125.145,287.572,511.564,772.829,1013.483,1088.552,1145.323,1204.029,1345.692,1561.134
2020277N21141::forecast_start=59,2020277N21141,ensemble_average,20,327.156,59.736,135.787,155.775,191.509,240.614,294.018,358.843,403.95,408.775,465.271,581.733,629.866
2020281N14126::forecast_start=21,2020281N14126,ensemble_average,20,137.563,44.747,70.02,153.181,118.197,62.636,154.188,111.781,106.611,123.092,182.321,226.93,297.052
2020291N06141::forecast_start=42,2020291N06141,ensemble_average,20,143.288,51.461,109.116,153.098,162.943,170.22,168.251,177.875,127.536,46.168,76.249,184.649,291.891
2020296N09137::forecast_start=36,2020296N09137,ensemble_average,20,127.42,16.773,40.368,42.427,33.614,121.796,225.364,154.927,164.332,180.799,202.248,187.893,158.495
2020299N11144::forecast_start=48,2020299N11144,ensemble_average,20,228.81,3.221,47.394,81.565,195.198,298.002,403.582,414.941,380.559,349.02,264.407,106.786,201.041
2020303N05149::forecast_start=42,2020303N05149,ensemble_average,20,336.109,27.647,107.954,131.315,88.097,91.893,161.806,273.267,389.285,517.686,685.747,786.753,771.865
2020313N08135::forecast_start=38,2020313N08135,ensemble_average,20,167.325,35.616,63.679,108.905,83.847,148.959,239.088,185.413,197.759,208.68,246.673,252.785,236.501
2020353N06129::forecast_start=37,2020353N06129,ensemble_average,20,312.43,60.567,140.708,168.91,210.349,301.398,378.027,408.216,403.366,432.067,476.449,402.119,366.987
2021046N06142::forecast_start=39,2021046N06142,ensemble_average,20,437.946,110.57,256.024,407.331,434.092,412.779,385.727,498.948,538.425,498.071,502.73,545.807,664.849
2021102N06144::forecast_start=67,2021102N06144,ensemble_average,20,255.172,18.563,32.327,84.148,133.393,200.755,266.655,335.62,313.823,296.474,302.821,417.921,659.56
2021148N05142::forecast_start=40,2021148N05142,ensemble_average,20,596.315,34.024,93.569,256.146,340.091,419.537,488.686,606.803,690.527,788.264,949.323,1149.329,1339.481
2021171N09152::forecast_start=40,2021171N09152,ensemble_average,20,422.705,24.024,58.165,102.359,163.169,264.534,367.364,437.081,472.604,558.873,677.782,862.05,1084.453
2021197N17135::forecast_start=57,2021197N17135,ensemble_average,20,288.555,52.02,88.057,124.639,178.007,246.785,316.982,398.002,403.801,440.888,394.459,378.678,440.337
2021198N19117::forecast_start=37,2021198N19117,ensemble_average,20,265.222,15.419,41.238,88.137,127.764,170.563,207.321,201.435,285.066,389.585,467.707,557.203,631.221
2021204N21146::forecast_start=40,2021204N21146,ensemble_average,20,263.87,37.007,81.638,129.547,219.129,313.026,354.123,317.507,251.712,310.899,380.83,390.373,380.651
2021214N21110::forecast_start=53,2021214N21110,ensemble_average,20,378.802,47.026,83.532,83.769,61.076,113.468,338.079,550.473,574.347,595.525,630.505,669.694,798.125
2021215N24124::forecast_start=37,2021215N24124,ensemble_average,20,698.272,79.159,127.656,200.055,308.665,447.423,625.578,831.094,896.061,994.416,1106.668,1297.003,1465.487
2021216N22144::forecast_start=17,2021216N22144,ensemble_average,20,766.577,30.898,103.583,202.791,336.059,545.814,778.595,951.682,1093.445,1176.324,1213.457,1319.391,1446.888
2021248N11131::forecast_start=39,2021248N11131,ensemble_average,20,262.281,9.173,56.23,169.647,125.598,101.306,90.102,178.828,291.522,387.071,474.679,573.329,689.889
2021248N12141::forecast_start=55,2021248N12141,ensemble_average,20,218.141,54.413,40.841,73.423,140.585,224.014,217.363,215.045,90.79,157.878,310.55,477.375,615.415
2021264N13119::forecast_start=17,2021264N13119,ensemble_average,20,182.916,30.259,48.857,22.546,34.43,116.337,141.1,170.219,201.171,290.019,337.158,376.165,426.73
2021276N07131::forecast_start=37,2021276N07131,ensemble_average,20,135.228,16.83,23.743,59.517,116.79,162.706,185.989,209.634,183.49,127.693,148.804,176.782,210.757
2021280N14137::forecast_start=36,2021280N14137,ensemble_average,20,305.298,15.112,25.571,52.22,69.693,184.793,355.017,352.804,418.574,481.7,544.354,557.098,606.645
2021295N09145::forecast_start=41,2021295N09145,ensemble_average,20,1017.051,46.485,114.612,204.535,335.675,510.291,721.026,961.759,1200.047,1445.099,1735.285,2189.069,2740.725
2021333N11146::forecast_start=27,2021333N11146,ensemble_average,20,791.23,37.056,69.401,172.829,276.671,454.09,701.316,934.789,1104.629,1263.728,1359.025,1471.587,1649.645
2021346N05145::forecast_start=43,2021346N05145,ensemble_average,20,187.905,1.708,56.861,184.889,127.764,102.194,174.444,167.145,215.48,217.165,246.072,328.981,432.152
