case_key,storm_id,aggregation,sample_count,mean_error_km,fde_48h_km,fde_54h_km,fde_60h_km,fde_66h_km,fde_72h_km
2019050N05163::forecast_start=48,2019050N05163,ensemble_average,20,272.199,198.502,215.434,227.77,301.493,417.795
2019195N13136::forecast_start=41,2019195N13136,ensemble_average,20,279.965,315.08,326.045,329.134,273.623,155.941
2019205N23137::forecast_start=22,2019205N23137,ensemble_average,20,474.642,552.619,483.567,419.541,446.349,471.135
2019210N16117::forecast_start=37,2019210N16117,ensemble_average,20,284.525,125.502,226.816,335.266,399.891,335.152
2019213N17155::forecast_start=44,2019213N17155,ensemble_average,20,682.281,695.325,637.924,613.246,621.013,843.899
2019214N15134::forecast_start=49,2019214N15134,ensemble_average,20,271.715,223.659,208.986,232.297,312.163,381.469
2019216N16147::forecast_start=52,2019216N16147,ensemble_average,20,86.061,68.728,83.237,117.187,78.152,83.002
2019231N13135::forecast_start=35,2019231N13135,ensemble_average,20,299.625,218.719,273.647,324.629,348.771,332.359
2019236N08143::forecast_start=31,2019236N08143,ensemble_average,20,372.105,120.016,219.826,372.156,502.325,646.202
2019242N14180::forecast_start=49,2019242N14180,ensemble_average,20,833.362,697.361,778.021,850.736,898.695,941.996
2019242N18126::forecast_start=38,2019242N18126,ensemble_average,20,394.918,431.8,323.376,225.598,384.231,609.586
2019255N09162::forecast_start=17,2019255N09162,ensemble_average,20,860.808,649.657,741.089,870.147,974.73,1068.42
2019260N20129::forecast_start=29,2019260N20129,ensemble_average,20,967.719,589.393,731.477,990.564,1197.254,1329.906
2019268N10155::forecast_start=45,2019268N10155,ensemble_average,20,687.263,629.485,657.314,675.77,713.073,760.675
2019278N16165::forecast_start=44,2019278N16165,ensemble_average,20,474.852,381.908,442.386,483.392,502.263,564.311
2019288N16136::forecast_start=33,2019288N16136,ensemble_average,20,1325.792,1133.599,1254.827,1313.259,1417.104,1510.172
2019290N08169::forecast_start=39,2019290N08169,ensemble_average,20,847.648,616.16,699.26,812.493,972.921,1137.407
2019306N10162::forecast_start=39,2019306N10162,ensemble_average,20,653.542,497.881,618.823,665.439,686.888,798.678
2019308N13114::forecast_start=35,2019308N13114,ensemble_average,20,331.512,289.077,370.56,417.838,349.441,230.642
2019314N12172::forecast_start=39,2019314N12172,ensemble_average,20,1692.618,1135.493,1396.469,1688.332,2027.15,2215.644
2019314N14136::forecast_start=50,2019314N14136,ensemble_average,20,263.753,212.168,234.577,260.657,232.3,379.064
2019322N11144::forecast_start=36,2019322N11144,ensemble_average,20,608.597,467.007,453.55,485.6,682.157,954.668
2019329N09160::forecast_start=48,2019329N09160,ensemble_average,20,155.147,144.762,156.91,199.634,169.039,105.388
2019354N05151::forecast_start=42,2019354N05151,ensemble_average,20,421.444,307.364,354.472,406.078,475.352,563.953
2020129N07134::forecast_start=43,2020129N07134,ensemble_average,20,412.72,253.707,335.954,432.769,490.813,550.355
2020160N10133::forecast_start=29,2020160N10133,ensemble_average,20,357.457,307.431,322.852,349.661,368.847,438.492
2020211N14124::forecast_start=17,2020211N14124,ensemble_average,20,271.589,165.633,174.251,262.726,361.122,394.211
2020213N15131::forecast_start=49,2020213N15131,ensemble_average,20,850.796,887.53,869.64,895.705,852.905,748.198
2020220N14128::forecast_start=37,2020220N14128,ensemble_average,20,468.107,294.709,220.362,350.917,601.091,873.457
2020229N18123::forecast_start=23,2020229N18123,ensemble_average,20,178.186,204.008,123.044,187.587,153.362,222.927
2020234N19123::forecast_start=40,2020234N19123,ensemble_average,20,920.984,1116.239,1088.275,899.571,782.685,718.151
2020239N13134::forecast_start=48,2020239N13134,ensemble_average,20,1204.921,912.896,1100.761,1281.952,1370.274,1358.721
2020244N25146::forecast_start=45,2020244N25146,ensemble_average,20,988.662,698.396,908.38,981.756,1151.881,1202.897
2020258N11127::forecast_start=17,2020258N11127,ensemble_average,20,761.325,427.964,670.777,796.433,907.972,1003.479
2020263N21136::forecast_start=44,2020263N21136,ensemble_average,20,887.668,849.125,844.225,847.092,868.769,1029.129
2020270N17159::forecast_start=29,2020270N17159,ensemble_average,20,1268.946,1088.552,1145.323,1204.029,1345.692,1561.134
2020277N21141::forecast_start=59,2020277N21141,ensemble_average,20,497.919,403.95,408.775,465.271,581.733,629.866
2020281N14126::forecast_start=21,2020281N14126,ensemble_average,20,187.201,106.611,123.092,182.321,226.93,297.052
2020291N06141::forecast_start=42,2020291N06141,ensemble_average,20,145.298,127.536,46.168,76.249,184.649,291.891
2020296N09137::forecast_start=36,2020296N09137,ensemble_average,20,178.753,164.332,180.799,202.248,187.893,158.495
2020299N11144::forecast_start=48,2020299N11144,ensemble_average,20,260.363,380.559,349.02,264.407,106.786,201.041
2020303N05149::forecast_start=42,2020303N05149,ensemble_average,20,630.267,389.285,517.686,685.747,786.753,771.865
2020313N08135::forecast_start=38,2020313N08135,ensemble_average,20,228.479,197.759,208.68,246.673,252.785,236.501
2020353N06129::forecast_start=37,2020353N06129,ensemble_average,20,416.198,403.366,432.067,476.449,402.119,366.987
2021046N06142::forecast_start=39,2021046N06142,ensemble_average,20,549.976,538.425,498.071,502.73,545.807,664.849
2021102N06144::forecast_start=67,2021102N06144,ensemble_average,20,398.12,313.823,296.474,302.821,417.921,659.56
2021148N05142::forecast_start=40,2021148N05142,ensemble_average,20,983.385,690.527,788.264,949.323,1149.329,1339.481
2021171N09152::forecast_start=40,2021171N09152,ensemble_average,20,731.152,472.604,558.873,677.782,862.05,1084.453
