case_key,storm_id,aggregation,sample_count,mean_error_km,fde_6h_km,fde_12h_km,fde_18h_km,fde_24h_km,fde_30h_km,fde_36h_km,fde_42h_km,fde_48h_km,fde_54h_km,fde_60h_km,fde_66h_km,fde_72h_km
1950305N12145::forecast_start=55,1950305N12145,ensemble_average,20,443.095,79.003,109.461,65.911,54.381,242.117,512.441,481.488,506.438,542.531,730.163,922.579,1070.625
1951119N06145::forecast_start=59,1951119N06145,ensemble_average,20,1225.158,77.845,231.744,435.305,568.927,884.714,1213.36,1395.673,1609.787,1791.448,2017.433,2257.532,2218.125
1951124N04167::forecast_start=52,1951124N04167,ensemble_average,20,706.523,82.053,158.438,178.302,243.616,418.851,719.754,823.584,962.618,1087.773,1228.005,1209.975,1365.307
1952206N09134::forecast_start=35,1952206N09134,ensemble_average,20,539.06,26.223,73.883,188.846,311.121,347.843,364.28,516.04,694.819,848.694,968.486,1026.785,1101.699
1953205N17158::forecast_start=45,1953205N17158,ensemble_average,20,245.143,61.421,89.448,37.308,11.431,132.612,323.406,295.531,302.06,351.072,426.623,446.413,464.386
1954307N04148::forecast_start=43,1954307N04148,ensemble_average,20,265.313,43.341,86.841,57.464,92.89,68.925,298.516,281.516,306.775,337.99,487.325,545.98,576.197
1955186N10147::forecast_start=51,1955186N10147,ensemble_average,20,296.759,59.822,46.656,129.477,196.645,68.973,270.522,323.169,361.836,413.729,535.072,577.692,577.52
1957168N05156::forecast_start=46,1957168N05156,ensemble_average,20,247.617,54.572,50.799,114.383,176.452,74.233,164.988,212.732,279.897,336.561,414.572,490.013,602.203
1958293N12128::forecast_start=39,1958293N12128,ensemble_average,20,455.69,45.604,105.825,90.334,117.8,232.772,467.262,509.673,570.678,623.104,743.489,894.829,1066.913
1960199N17129::forecast_start=60,1960199N17129,ensemble_average,20,173.564,42.036,72.663,87.912,109.532,120.362,214.059,210.941,182.193,199.07,221.371,275.324,347.31
1960231N22117::forecast_start=40,1960231N22117,ensemble_average,20,425.132,36.793,52.89,166.857,372.338,341.798,328.674,373.98,449.47,562.351,682.625,784.166,949.639
1961014N07141::forecast_start=31,1961014N07141,ensemble_average,20,584.982,34.494,122.717,227.323,322.51,442.68,586.84,675.497,751.379,864.175,937.001,1000.267,1054.907
1961204N12147::forecast_start=57,1961204N12147,ensemble_average,20,165.529,35.166,77.475,30.865,109.336,122.683,164.043,130.378,224.447,353.027,289.842,232.157,216.932
1962217N10142::forecast_start=33,1962217N10142,ensemble_average,20,352.062,81.462,131.682,57.69,125.525,261.748,435.892,490.525,562.376,590.16,600.469,511.219,375.998
1963190N15149::forecast_start=57,1963190N15149,ensemble_average,20,172.968,71.115,26.671,43.223,117.433,109.315,212.253,201.762,200.2,204.713,309.229,306.533,273.164
1964143N13112::forecast_start=39,1964143N13112,ensemble_average,20,371.112,38.65,58.676,72.754,100.197,204.615,381.502,429.308,458.028,515.462,624.343,729.902,839.907
1966130N06139::forecast_start=49,1966130N06139,ensemble_average,20,386.102,76.596,209.135,179.845,171.928,191.442,387.199,389.829,410.676,432.601,588.506,730.951,864.519
1966204N16116::forecast_start=21,1966204N16116,ensemble_average,20,190.986,88.435,50.25,81.646,120.767,211.385,316.328,292.027,257.544,263.736,278.849,205.179,125.687
1966210N11113::forecast_start=21,1966210N11113,ensemble_average,20,1992.325,147.261,1953.441,2030.633,2101.357,2259.044,2238.839,2225.383,2198.477,2229.355,2231.903,2182.879,2109.325
1966230N27132::forecast_start=46,1966230N27132,ensemble_average,20,307.35,64.025,36.749,104.523,182.662,114.304,169.771,223.138,317.495,459.267,575.413,679.979,760.881
1966261N13158::forecast_start=38,1966261N13158,ensemble_average,20,1066.507,62.668,46.287,173.343,377.925,405.796,674.223,1017.776,1401.856,1843.602,2215.126,2306.759,2272.72
1967128N06137::forecast_start=19,1967128N06137,ensemble_average,20,544.423,86.013,147.721,180.247,324.95,384.648,502.9,609.328,646.104,691.45,785.704,973.594,1200.418
1968203N18119::forecast_start=33,1968203N18119,ensemble_average,20,1009.648,52.556,259.144,490.31,726.64,822.767,935.356,1000.401,1095.221,1429.506,1669.877,1801.682,1832.312
1968266N06142::forecast_start=47,1968266N06142,ensemble_average,20,372.566,49.493,115.558,97.791,112.123,239.783,496.928,486.985,470.986,461.443,571.756,645.765,722.182
1968314N08138::forecast_start=59,1968314N08138,ensemble_average,20,215.781,56.115,198.566,174.464,155.489,147.63,180.95,182.559,134.859,174.91,301.601,406.454,475.779
1969216N09143::forecast_start=35,1969216N09143,ensemble_average,20,174.356,69.491,187.207,335.887,386.263,202.765,64.692,108.643,140.443,150.712,38.361,142.154,265.658
1970215N21137::forecast_start=31,1970215N21137,ensemble_average,20,228.256,11.113,43.711,110.055,205.922,148.917,204.928,207.803,243.438,383.93,397.845,391.013,390.397
1970262N13175::forecast_start=48,1970262N13175,ensemble_average,20,523.436,43.27,27.427,111.297,214.783,206.316,408.595,511.528,638.872,777.836,982.092,1124.709,1234.513
1971216N11143::forecast_start=49,1971216N11143,ensemble_average,20,738.585,13.93,101.15,199.303,338.624,432.904,623.939,803.674,972.555,1145.289,1304.27,1404.001,1523.374
1972187N11126::forecast_start=48,1972187N11126,ensemble_average,20,224.717,22.252,94.293,133.255,120.302,158.174,255.13,229.305,215.52,219.379,292.418,415.004,541.576
1972189N11171::forecast_start=65,1972189N11171,ensemble_average,20,450.399,78.283,153.903,146.37,219.081,343.29,570.371,563.1,589.756,602.935,656.852,712.846,768.003
1972202N11165::forecast_start=39,1972202N11165,ensemble_average,20,850.808,85.851,191.343,331.74,473.159,691.469,949.771,1042.881,1182.053,1278.874,1363.62,1333.996,1284.943
1973197N20136::forecast_start=51,1973197N20136,ensemble_average,20,221.473,26.057,17.712,63.666,194.375,272.763,339.935,401.69,451.566,388.889,292.783,177.477,30.764
1973253N14129::forecast_start=25,1973253N14129,ensemble_average,20,165.569,64.298,88.83,38.689,106.716,72.962,79.894,169.527,285.462,318.403,259.93,241.25,260.87
1975211N20137::forecast_start=40,1975211N20137,ensemble_average,20,1156.246,62.3,134.164,153.973,75.859,125.902,219.762,190.681,174.624,3119.641,3156.552,3216.254,3245.247
1975237N23154::forecast_start=42,1975237N23154,ensemble_average,20,397.987,51.729,41.94,87.101,118.679,127.5,346.074,404.251,509.024,628.695,745.714,843.304,871.838
1976309N05160::forecast_start=41,1976309N05160,ensemble_average,20,818.096,53.949,36.727,114.395,205.961,350.415,655.497,805.639,967.701,1139.303,1497.601,1832.586,2157.377
1977082N03165::forecast_start=37,1977082N03165,ensemble_average,20,310.946,58.278,127.186,88.722,63.019,166.225,391.575,378.632,352.199,327.079,496.8,596.66,684.977
1977308N07156::forecast_start=53,1977308N07156,ensemble_average,20,438.716,119.326,234.488,222.826,206.615,318.096,630.986,564.016,521.939,439.136,556.605,666.781,783.776
1978240N20130::forecast_start=41,1978240N20130,ensemble_average,20,1354.362,93.535,1397.7,1414.704,1393.99,1439.338,1483.738,1435.771,1362.405,1413.932,1518.839,1597.766,1700.625
1979228N11151::forecast_start=47,1979228N11151,ensemble_average,20,128.719,93.264,121.489,184.755,231.957,192.753,254.49,201.464,82.323,32.586,5.029,44.042,100.472
1979262N15149::forecast_start=54,1979262N15149,ensemble_average,20,433.91,46.75,73.45,221.605,392.79,434.185,495.319,556.46,587.529,634.767,647.055,593.45,523.557
1980197N07154::forecast_start=40,1980197N07154,ensemble_average,20,226.667,74.307,130.134,31.129,40.315,117.964,314.89,275.918,297.327,374.949,369.64,362.539,330.896
1980254N14112::forecast_start=33,1980254N14112,ensemble_average,20,293.496,30.238,120.766,93.304,139.487,210.769,205.345,286.281,365.793,427.159,474.909,587.569,580.331
1980282N19162::forecast_start=23,1980282N19162,ensemble_average,20,262.279,53.3,82.365,58.599,134.707,61.426,147.69,133.369,214.845,346.23,410.89,589.618,914.314
1980296N05165::forecast_start=63,1980296N05165,ensemble_average,20,2669.536,1042.729,2415.502,2501.888,2590.354,2689.632,2767.256,2812.392,2889.965,3003.535,3070.172,3100.874,3150.134
1980349N10138::forecast_start=43,1980349N10138,ensemble_average,20,463.947,64.432,255.853,325.741,342.422,335.852,413.749,421.78,463.073,518.914,657.544,809.706,958.293
1981214N13113::forecast_start=40,1981214N13113,ensemble_average,20,347.214,48.77,72.64,133.94,207.843,259.611,295.059,361.142,422.653,474.964,523.028,626.801,740.113
1981319N07163::forecast_start=50,1981319N07163,ensemble_average,20,133.829,82.81,150.053,107.171,84.032,77.303,192.26,96.048,108.089,239.383,220.395,160.453,87.951
1981324N08158::forecast_start=29,1981324N08158,ensemble_average,20,509.943,48.709,120.623,43.374,216.708,266.463,302.249,450.978,616.843,764.336,863.118,1075.692,1350.221
1982190N09148::forecast_start=39,1982190N09148,ensemble_average,20,187.808,64.502,121.504,50.66,48.764,43.896,212.247,129.179,199.602,347.145,352.204,361.406,322.586
1983229N15140::forecast_start=54,1983229N15140,ensemble_average,20,379.047,18.014,81.464,106.996,127.014,196.48,270.768,394.238,574.771,677.891,747.214,739.047,614.661
1984186N16154::forecast_start=61,1984186N16154,ensemble_average,20,284.513,15.955,55.495,134.074,136.977,206.303,354.496,377.823,402.914,430.64,439.289,429.068,431.126
1984270N22147::forecast_start=23,1984270N22147,ensemble_average,20,261.122,77.93,124.518,50.193,130.576,152.272,131.221,80.991,125.294,301.419,570.396,693.209,695.448
1986302N05178::forecast_start=54,1986302N05178,ensemble_average,20,324.213,44.822,103.909,102.182,112.498,214.256,451.773,419.748,381.453,317.15,455.084,581.92,705.767
1987288N13168::forecast_start=52,1987288N13168,ensemble_average,20,128.969,31.047,45.8,94.421,196.102,164.202,32.369,106.758,193.029,304.002,222.358,111.018,46.525
1987320N03171::forecast_start=54,1987320N03171,ensemble_average,20,244.189,91.385,172.344,110.741,100.255,167.832,367.266,321.974,274.47,284.155,337.561,349.095,353.191
1988005N03174::forecast_start=53,1988005N03174,ensemble_average,20,227.318,73.885,107.183,40.88,40.226,94.262,314.593,296.077,252.325,202.804,321.29,444.181,540.107
1988255N21159::forecast_start=25,1988255N21159,ensemble_average,20,265.709,42.002,25.675,57.04,81.826,18.602,172.032,211.677,263.363,360.339,501.024,658.358,796.566
1989199N05139::forecast_start=29,1989199N05139,ensemble_average,20,489.683,128.816,277.203,264.853,272.513,396.509,549.431,549.108,555.725,638.018,710.46,756.664,776.893
1989354N05155::forecast_start=41,1989354N05155,ensemble_average,20,440.12,61.185,235.996,240.404,251.853,270.156,439.36,464.646,502.085,505.689,670.241,799.341,840.484
1990008N01172::forecast_start=42,1990008N01172,ensemble_average,20,745.282,18.878,77.629,170.819,246.651,447.153,801.637,881.809,963.117,1026.528,1239.463,1437.24,1632.465
1990163N08133::forecast_start=35,1990163N08133,ensemble_average,20,492.316,113.25,289.87,307.676,355.287,405.2,555.5,581.919,615.442,649.608,673.043,678.286,682.705
1990166N06141::forecast_start=45,1990166N06141,ensemble_average,20,336.1,40.003,54.369,135.292,216.635,143.837,297.547,318.795,371.825,494.313,656.328,659.145,645.113
1990271N13153::forecast_start=45,1990271N13153,ensemble_average,20,1277.647,18.629,24.335,84.136,151.577,370.393,692.94,1006.848,1552.83,1933.822,2363.741,3553.618,3578.896
1990310N07152::forecast_start=49,1990310N07152,ensemble_average,20,221.647,54.638,95.009,35.632,129.409,137.392,228.265,252.328,303.128,399.687,378.944,337.325,308.006
1991124N05152::forecast_start=54,1991124N05152,ensemble_average,20,220.785,66.22,104.249,21.047,78.917,93.53,279.804,248.436,242.903,256.392,320.5,416.68,520.746
1991317N09141::forecast_start=35,1991317N09141,ensemble_average,20,459.423,66.053,150.524,170.006,227.918,378.823,644.801,655.318,645.224,592.91,661.851,660.257,659.397
1992174N13126::forecast_start=43,1992174N13126,ensemble_average,20,374.044,63.705,210.211,196.176,236.176,261.27,418.625,443.419,476.726,487.733,526.716,558.546,609.219
1992198N13135::forecast_start=39,1992198N13135,ensemble_average,20,210.516,28.635,67.39,60.634,102.684,157.384,255.403,236.378,291.137,352.829,362.116,333.862,277.745
1992237N14144::forecast_start=48,1992237N14144,ensemble_average,20,200.369,40.35,48.056,158.034,366.981,203.566,181.055,102.78,55.261,61.005,220.628,407.855,558.858
1992289N08135::forecast_start=55,1992289N08135,ensemble_average,20,241.095,55.11,168.116,182.271,138.079,101.329,82.758,123.355,183.266,433.71,539.788,496.696,388.659
1993229N10159::forecast_start=53,1993229N10159,ensemble_average,20,179.356,78.534,64.166,57.621,123.201,75.595,209.282,207.006,262.96,322.471,296.728,241.707,213.0
1993261N11131::forecast_start=41,1993261N11131,ensemble_average,20,459.58,55.464,195.656,199.084,204.793,232.171,406.578,480.884,553.293,604.876,734.618,859.626,987.922
1994210N16144::forecast_start=37,1994210N16144,ensemble_average,20,2833.063,48.734,17.776,3626.84,3511.532,3545.787,3615.925,3506.92,3384.929,3284.693,3199.411,3142.978,3111.238
1994244N07151::forecast_start=48,1994244N07151,ensemble_average,20,273.692,9.104,17.988,38.851,65.514,144.511,304.361,333.436,372.531,403.308,484.227,539.952,570.52
1995193N06156::forecast_start=51,1995193N06156,ensemble_average,20,241.579,64.67,84.735,15.934,93.043,130.563,186.841,232.851,326.276,424.119,448.236,448.012,443.664
1995279N15153::forecast_start=47,1995279N15153,ensemble_average,20,615.305,63.485,67.018,137.341,233.13,436.964,664.407,763.356,822.015,888.373,979.685,1110.21,1217.677
1998188N18117::forecast_start=23,1998188N18117,ensemble_average,20,171.206,24.296,38.981,69.993,135.91,149.82,189.854,201.222,202.276,203.654,228.619,287.503,322.346
1999254N18142::forecast_start=30,1999254N18142,ensemble_average,20,1058.472,90.534,181.562,305.202,443.587,793.443,1131.666,1350.29,1514.785,1635.347,1746.699,1752.162,1756.384
2001225N18146::forecast_start=43,2001225N18146,ensemble_average,20,413.766,45.611,45.282,133.674,198.158,161.051,320.145,413.237,506.137,611.114,760.363,856.685,913.732
2002200N21150::forecast_start=40,2002200N21150,ensemble_average,20,866.34,123.525,330.437,413.922,550.94,684.799,849.674,968.605,1043.126,1158.394,1299.975,1449.936,1522.744
2003290N15132::forecast_start=41,2003290N15132,ensemble_average,20,607.775,26.834,81.475,129.551,171.96,365.513,650.028,693.471,734.636,814.313,991.833,1213.127,1420.562
2004219N15137::forecast_start=41,2004219N15137,ensemble_average,20,282.266,42.506,35.594,125.919,243.651,268.006,301.03,290.61,363.723,457.999,456.234,403.834,398.083
2005071N06152::forecast_start=35,2005071N06152,ensemble_average,20,240.308,78.005,280.431,154.474,27.709,139.456,341.636,256.629,204.2,203.7,295.486,384.787,517.185
2005211N09141::forecast_start=44,2005211N09141,ensemble_average,20,382.807,21.32,80.613,155.116,183.525,198.094,345.078,429.151,500.998,566.479,660.453,718.609,734.248
2005316N05134::forecast_start=39,2005316N05134,ensemble_average,20,337.158,78.727,224.201,207.166,237.279,243.952,399.108,394.705,378.01,402.313,499.386,508.561,472.489
2006216N21152::forecast_start=45,2006216N21152,ensemble_average,20,172.267,37.342,101.273,125.408,52.77,85.703,209.102,246.518,204.359,211.047,214.208,245.707,333.765
2007223N19136::forecast_start=51,2007223N19136,ensemble_average,20,150.531,47.185,62.233,175.932,275.468,131.174,117.431,147.693,184.119,233.913,230.172,124.712,76.345
2007254N18140::forecast_start=31,2007254N18140,ensemble_average,20,533.822,29.305,33.642,111.532,174.677,243.739,406.719,612.445,769.298,898.079,1063.754,1055.308,1007.366
2007306N18133::forecast_start=39,2007306N18133,ensemble_average,20,310.655,61.297,146.78,106.383,119.005,189.825,190.046,245.285,306.835,357.532,461.454,671.417,872.002
2008104N08128::forecast_start=31,2008104N08128,ensemble_average,20,273.384,48.619,40.827,81.502,135.025,90.697,197.377,236.739,288.937,367.269,496.585,593.45,703.585
2008128N07134::forecast_start=36,2008128N07134,ensemble_average,20,925.165,51.553,118.874,294.877,403.521,648.191,903.154,1092.61,1290.836,1456.286,1570.176,1622.263,1649.636
2008268N12140::forecast_start=47,2008268N12140,ensemble_average,20,252.425,90.691,179.619,114.729,59.949,113.309,323.777,323.033,370.559,399.582,371.202,350.913,331.737
