case_key,storm_id,aggregation,sample_count,mean_error_km,fde_6h_km,fde_12h_km,fde_18h_km,fde_24h_km,fde_30h_km,fde_36h_km,fde_42h_km,fde_48h_km,fde_54h_km,fde_60h_km,fde_66h_km,fde_72h_km
1950305N12145::forecast_start=55,1950305N12145,ensemble_average,20,157.197,36.631,82.421,106.924,59.528,88.724,184.285,176.24,116.748,141.983,211.467,296.103,385.314
1951119N06145::forecast_start=59,1951119N06145,ensemble_average,20,886.905,79.579,240.909,382.45,490.212,627.096,676.07,833.582,1193.462,1479.1,1632.525,1647.512,1360.367
1951124N04167::forecast_start=52,1951124N04167,ensemble_average,20,439.502,49.403,148.913,223.129,232.648,282.117,329.837,479.068,674.627,846.733,832.521,627.227,547.801
1952206N09134::forecast_start=35,1952206N09134,ensemble_average,20,873.515,76.681,148.561,206.585,359.161,573.604,771.555,887.971,996.066,1138.746,1450.977,1772.38,2099.897
1953205N17158::forecast_start=45,1953205N17158,ensemble_average,20,103.636,25.382,69.533,72.8,28.328,63.324,67.605,45.883,137.216,248.776,254.236,162.508,68.042
1954307N04148::forecast_start=43,1954307N04148,ensemble_average,20,157.944,29.012,46.899,36.527,84.359,181.097,248.798,195.692,86.1,115.028,111.265,280.737,479.817
1955186N10147::forecast_start=51,1955186N10147,ensemble_average,20,122.122,12.93,51.873,55.483,85.896,151.896,125.504,20.891,142.32,267.855,252.729,136.027,162.056
1957168N05156::forecast_start=46,1957168N05156,ensemble_average,20,119.782,10.211,55.702,60.915,56.886,157.096,212.857,134.386,109.332,144.478,130.652,162.453,202.42
1958293N12128::forecast_start=39,1958293N12128,ensemble_average,20,424.733,24.478,60.305,67.808,106.404,236.482,407.238,486.784,521.042,579.377,731.563,850.371,1024.939
1960199N17129::forecast_start=60,1960199N17129,ensemble_average,20,270.594,23.231,83.695,135.583,156.695,182.136,275.41,278.438,238.358,265.822,377.8,525.492,704.472
1960231N22117::forecast_start=40,1960231N22117,ensemble_average,20,782.416,8.319,54.996,267.39,467.428,616.295,834.062,914.839,909.047,978.233,1201.57,1436.393,1700.419
1961014N07141::forecast_start=31,1961014N07141,ensemble_average,20,379.985,63.431,208.228,235.179,206.58,202.839,160.574,285.555,482.662,678.33,732.126,693.607,610.712
1961204N12147::forecast_start=57,1961204N12147,ensemble_average,20,316.757,50.336,108.315,107.428,105.15,238.42,347.114,391.591,411.837,407.692,472.56,556.267,604.38
1962217N10142::forecast_start=33,1962217N10142,ensemble_average,20,252.198,24.819,72.875,154.121,175.2,199.187,229.902,260.561,374.751,338.061,258.628,334.454,603.82
1963190N15149::forecast_start=57,1963190N15149,ensemble_average,20,200.46,22.777,69.576,95.839,24.861,101.26,213.274,200.682,143.461,206.059,309.544,459.154,559.028
1964143N13112::forecast_start=39,1964143N13112,ensemble_average,20,145.932,25.975,80.93,90.093,46.583,124.015,209.202,203.999,189.186,154.281,167.928,223.283,235.703
1966130N06139::forecast_start=49,1966130N06139,ensemble_average,20,74.666,44.724,77.364,109.934,42.723,57.534,90.937,40.051,76.885,127.093,102.773,38.172,87.81
1966204N16116::forecast_start=21,1966204N16116,ensemble_average,20,272.759,40.173,93.324,156.635,102.642,135.158,236.479,229.71,222.58,206.623,347.177,611.43,891.173
1966210N11113::forecast_start=21,1966210N11113,ensemble_average,20,1994.471,93.725,1878.659,2045.975,2154.329,2153.159,2165.522,2242.66,2327.249,2403.014,2279.982,2114.073,2075.303
1966230N27132::forecast_start=46,1966230N27132,ensemble_average,20,218.754,15.945,33.0,30.115,81.306,195.593,260.855,217.37,194.996,233.703,348.091,490.718,523.352
1966261N13158::forecast_start=38,1966261N13158,ensemble_average,20,928.968,46.814,129.056,221.49,312.102,459.553,617.788,868.363,1251.057,1640.691,1912.77,1918.727,1769.201
1967128N06137::forecast_start=19,1967128N06137,ensemble_average,20,689.859,13.328,114.568,231.634,360.173,487.709,694.878,824.363,828.566,886.871,1063.474,1258.215,1514.533
1968203N18119::forecast_start=33,1968203N18119,ensemble_average,20,670.072,60.638,260.341,346.038,457.541,536.467,554.25,667.484,924.132,1057.12,1118.993,1096.212,961.649
1968266N06142::forecast_start=47,1968266N06142,ensemble_average,20,202.22,23.583,77.242,87.468,62.722,127.005,208.505,192.11,166.195,147.43,264.568,442.989,626.83
1968314N08138::forecast_start=59,1968314N08138,ensemble_average,20,300.454,12.59,22.841,53.152,136.333,224.898,346.361,342.651,257.872,263.359,418.871,616.855,909.669
1969216N09143::forecast_start=35,1969216N09143,ensemble_average,20,198.758,21.45,149.624,203.6,224.169,315.432,348.263,281.448,184.557,56.974,110.621,181.776,307.185
1970215N21137::forecast_start=31,1970215N21137,ensemble_average,20,517.232,52.443,88.138,120.059,221.74,346.259,461.704,484.429,482.751,541.336,786.292,1140.557,1481.081
1970262N13175::forecast_start=48,1970262N13175,ensemble_average,20,227.689,38.819,99.183,120.295,137.336,252.55,290.763,201.84,254.804,376.574,363.945,297.859,298.296
1971216N11143::forecast_start=49,1971216N11143,ensemble_average,20,715.931,71.431,192.916,324.872,419.422,476.271,534.991,756.881,1044.636,1236.898,1262.815,1172.062,1097.971
1972187N11126::forecast_start=48,1972187N11126,ensemble_average,20,331.564,37.892,109.633,84.865,16.045,130.935,293.996,351.766,338.661,430.804,563.212,713.267,907.696
1972189N11171::forecast_start=65,1972189N11171,ensemble_average,20,231.297,77.804,159.831,214.001,209.333,212.273,249.14,280.695,319.968,304.156,243.185,234.353,270.829
1972202N11165::forecast_start=39,1972202N11165,ensemble_average,20,767.698,105.974,275.522,333.247,418.798,595.747,736.387,855.817,1076.549,1201.347,1189.573,1184.038,1239.38
1973197N20136::forecast_start=51,1973197N20136,ensemble_average,20,388.214,46.875,127.405,201.815,340.734,470.72,604.249,516.632,452.645,344.255,354.514,510.918,687.807
1973253N14129::forecast_start=25,1973253N14129,ensemble_average,20,301.131,19.321,34.604,36.97,96.784,230.478,322.223,320.258,314.017,300.359,417.052,631.98,889.528
1975211N20137::forecast_start=40,1975211N20137,ensemble_average,20,1066.891,82.533,142.49,112.231,45.162,136.313,303.273,411.155,485.331,2900.417,2785.932,2698.644,2699.205
1975237N23154::forecast_start=42,1975237N23154,ensemble_average,20,217.502,26.062,77.535,99.979,65.448,82.822,94.426,32.96,243.856,461.075,496.429,473.127,456.302
1976309N05160::forecast_start=41,1976309N05160,ensemble_average,20,388.141,24.883,82.11,129.251,137.349,212.492,238.19,272.712,466.876,658.658,743.812,809.377,881.987
1977082N03165::forecast_start=37,1977082N03165,ensemble_average,20,144.047,38.175,88.128,88.601,36.346,124.799,214.551,174.711,125.471,62.524,119.568,249.025,406.66
1977308N07156::forecast_start=53,1977308N07156,ensemble_average,20,200.728,38.756,100.878,165.556,121.083,58.42,159.957,184.752,188.291,247.702,255.206,315.419,572.72
1978240N20130::forecast_start=41,1978240N20130,ensemble_average,20,1221.28,41.687,1284.871,1408.623,1371.618,1287.966,1301.248,1364.474,1379.069,1466.449,1389.612,1225.844,1133.9
1979228N11151::forecast_start=47,1979228N11151,ensemble_average,20,189.16,30.797,40.859,73.266,157.457,246.422,301.141,239.724,219.193,181.234,173.894,248.822,357.114
1979262N15149::forecast_start=54,1979262N15149,ensemble_average,20,485.353,15.795,109.683,210.817,317.806,481.096,618.62,670.826,700.56,693.392,660.783,675.318,669.536
1980197N07154::forecast_start=40,1980197N07154,ensemble_average,20,372.234,22.663,72.957,107.599,112.009,245.977,327.651,355.201,387.081,405.184,534.582,805.655,1090.252
1980254N14112::forecast_start=33,1980254N14112,ensemble_average,20,432.52,68.055,176.108,184.465,215.543,351.574,413.203,433.247,501.19,519.114,584.057,804.557,939.125
1980282N19162::forecast_start=23,1980282N19162,ensemble_average,20,243.516,34.946,56.026,41.266,86.303,221.465,300.496,294.385,291.923,312.589,333.983,400.132,548.67
1980296N05165::forecast_start=63,1980296N05165,ensemble_average,20,2686.396,1245.052,2415.502,2501.888,2590.354,2689.632,2767.256,2812.392,2889.965,3003.535,3070.172,3100.874,3150.134
1980349N10138::forecast_start=43,1980349N10138,ensemble_average,20,430.717,40.842,160.859,220.324,196.221,217.619,333.856,388.105,439.217,577.323,715.073,840.172,1038.987
1981214N13113::forecast_start=40,1981214N13113,ensemble_average,20,656.298,23.553,55.392,127.471,258.762,439.786,629.329,734.024,779.84,882.655,1075.226,1303.076,1566.464
1981319N07163::forecast_start=50,1981319N07163,ensemble_average,20,355.037,21.733,51.699,64.978,76.602,276.467,408.426,407.769,396.08,405.983,520.417,707.311,922.978
1981324N08158::forecast_start=29,1981324N08158,ensemble_average,20,524.677,40.486,134.367,162.123,281.13,475.684,530.912,563.313,678.462,719.232,792.25,960.536,957.628
1982190N09148::forecast_start=39,1982190N09148,ensemble_average,20,330.113,11.385,33.176,54.261,58.116,182.756,267.417,282.334,329.195,410.006,567.961,781.142,983.609
1983229N15140::forecast_start=54,1983229N15140,ensemble_average,20,398.662,77.098,163.767,136.063,153.077,240.392,345.548,474.511,586.262,680.54,679.164,627.258,620.265
1984186N16154::forecast_start=61,1984186N16154,ensemble_average,20,147.271,26.919,141.607,170.434,125.151,98.807,85.434,59.958,184.483,300.007,272.74,169.781,131.926
1984270N22147::forecast_start=23,1984270N22147,ensemble_average,20,341.532,20.914,117.283,124.421,146.683,270.006,403.978,371.701,346.143,429.47,546.446,656.613,664.729
1986302N05178::forecast_start=54,1986302N05178,ensemble_average,20,174.627,31.375,88.436,130.309,117.84,177.261,194.713,135.784,81.635,75.431,170.81,331.65,560.284
1987288N13168::forecast_start=52,1987288N13168,ensemble_average,20,585.969,37.512,85.857,109.993,283.54,498.614,663.392,678.537,628.508,662.061,886.275,1136.749,1360.591
1987320N03171::forecast_start=54,1987320N03171,ensemble_average,20,157.769,5.375,6.636,48.109,41.502,98.598,165.258,156.18,154.532,221.692,212.135,259.388,523.817
1988005N03174::forecast_start=53,1988005N03174,ensemble_average,20,243.738,14.774,49.399,48.204,44.052,112.542,144.925,101.513,149.421,254.343,433.945,650.935,920.806
1988255N21159::forecast_start=25,1988255N21159,ensemble_average,20,187.569,22.518,62.59,83.919,60.054,101.105,151.58,86.005,128.591,261.3,371.176,440.301,481.686
1989199N05139::forecast_start=29,1989199N05139,ensemble_average,20,246.42,43.468,151.086,289.204,269.12,157.846,121.355,244.783,391.39,517.568,447.268,238.054,85.902
1989354N05155::forecast_start=41,1989354N05155,ensemble_average,20,210.425,64.826,148.76,180.686,112.999,49.663,69.321,193.696,254.754,365.551,415.744,378.426,290.679
1990008N01172::forecast_start=42,1990008N01172,ensemble_average,20,293.364,55.977,169.885,224.462,225.464,223.13,187.801,273.2,440.344,544.104,486.542,385.517,303.935
1990163N08133::forecast_start=35,1990163N08133,ensemble_average,20,343.195,39.524,175.844,255.888,235.501,256.044,239.496,283.512,436.137,459.544,420.101,578.849,737.895
1990166N06141::forecast_start=45,1990166N06141,ensemble_average,20,210.26,39.299,109.063,135.558,125.716,256.775,361.732,265.496,145.541,195.75,203.31,256.052,428.822
1990271N13153::forecast_start=45,1990271N13153,ensemble_average,20,1146.471,25.867,83.415,130.691,130.437,232.849,383.883,735.461,1381.699,1820.373,2206.166,3372.239,3254.567
1990310N07152::forecast_start=49,1990310N07152,ensemble_average,20,495.156,17.945,65.781,101.94,216.622,408.174,513.76,495.552,493.081,583.551,774.087,1028.089,1243.294
1991124N05152::forecast_start=54,1991124N05152,ensemble_average,20,156.274,20.219,55.032,84.823,115.325,208.624,235.322,198.623,196.627,170.142,132.479,184.229,273.841
1991317N09141::forecast_start=35,1991317N09141,ensemble_average,20,197.851,33.013,123.056,196.895,207.834,204.398,180.398,244.826,318.139,327.079,234.132,25.704,278.735
1992174N13126::forecast_start=43,1992174N13126,ensemble_average,20,300.127,42.491,110.074,120.291,95.294,219.321,304.267,267.737,267.025,246.409,402.234,653.141,873.241
1992198N13135::forecast_start=39,1992198N13135,ensemble_average,20,264.611,38.553,93.883,151.455,149.997,190.939,219.071,216.404,263.071,289.113,352.396,504.418,706.034
1992237N14144::forecast_start=48,1992237N14144,ensemble_average,20,729.671,31.542,73.39,142.438,383.387,619.174,750.763,771.983,746.431,902.511,1165.354,1447.167,1721.914
1992289N08135::forecast_start=55,1992289N08135,ensemble_average,20,115.066,30.629,113.839,150.151,72.399,34.913,96.663,24.774,93.711,172.226,110.547,96.564,384.376
1993229N10159::forecast_start=53,1993229N10159,ensemble_average,20,224.046,15.882,16.327,67.714,23.569,138.849,244.249,272.341,316.061,290.665,330.932,433.496,538.468
1993261N11131::forecast_start=41,1993261N11131,ensemble_average,20,152.821,28.454,89.301,113.081,52.695,21.352,43.02,126.009,239.435,350.534,340.766,261.279,167.926
1994210N16144::forecast_start=37,1994210N16144,ensemble_average,20,2691.268,23.699,62.993,3718.039,3591.121,3398.938,3277.964,3262.541,3239.645,3211.28,3039.48,2814.733,2654.785
1994244N07151::forecast_start=48,1994244N07151,ensemble_average,20,120.524,24.774,73.713,93.721,39.887,57.951,80.106,59.531,159.735,247.935,272.684,217.599,118.655
1995193N06156::forecast_start=51,1995193N06156,ensemble_average,20,223.109,7.116,38.146,79.188,78.238,181.81,238.892,242.076,293.898,331.872,352.577,394.796,438.698
1995279N15153::forecast_start=47,1995279N15153,ensemble_average,20,556.422,21.888,81.503,179.436,288.758,380.145,493.052,600.712,687.459,832.748,956.428,1032.442,1122.49
