case_key,storm_id,aggregation,sample_count,mean_error_km,fde_48h_km,fde_54h_km,fde_60h_km,fde_66h_km,fde_72h_km
2019050N05163::forecast_start=48,2019050N05163,oracle_per_lead_min,20,120.943,108.835,143.786,135.421,86.986,129.684
2019195N13136::forecast_start=41,2019195N13136,oracle_per_lead_min,20,69.523,30.171,93.242,91.393,75.425,57.385
2019205N23137::forecast_start=22,2019205N23137,oracle_per_lead_min,20,424.95,425.414,459.743,499.36,394.68,345.555
2019210N16117::forecast_start=37,2019210N16117,oracle_per_lead_min,20,119.542,106.498,32.161,59.962,177.95,221.137
2019213N17155::forecast_start=44,2019213N17155,oracle_per_lead_min,20,480.192,319.728,373.604,517.734,509.043,680.85
2019214N15134::forecast_start=49,2019214N15134,oracle_per_lead_min,20,75.909,26.409,80.166,40.686,84.466,147.817
2019216N16147::forecast_start=52,2019216N16147,oracle_per_lead_min,20,90.008,53.878,18.608,95.673,155.351,126.528
2019231N13135::forecast_start=35,2019231N13135,oracle_per_lead_min,20,149.34,64.3,56.025,143.734,220.206,262.433
2019236N08143::forecast_start=31,2019236N08143,oracle_per_lead_min,20,182.594,41.35,37.546,114.437,296.478,423.16
2019242N14180::forecast_start=49,2019242N14180,oracle_per_lead_min,20,361.6,346.098,494.488,390.817,340.925,235.671
2019242N18126::forecast_start=38,2019242N18126,oracle_per_lead_min,20,184.408,140.435,142.33,194.372,237.205,207.7
2019255N09162::forecast_start=17,2019255N09162,oracle_per_lead_min,20,569.899,345.682,528.636,669.232,686.494,619.449
2019260N20129::forecast_start=29,2019260N20129,oracle_per_lead_min,20,426.38,119.855,314.128,519.934,597.287,580.695
2019268N10155::forecast_start=45,2019268N10155,oracle_per_lead_min,20,209.12,81.517,188.237,311.962,260.639,203.246
2019278N16165::forecast_start=44,2019278N16165,oracle_per_lead_min,20,211.887,175.189,203.584,243.01,248.939,188.714
2019288N16136::forecast_start=33,2019288N16136,oracle_per_lead_min,20,367.774,223.203,384.925,490.845,475.691,264.206
2019290N08169::forecast_start=39,2019290N08169,oracle_per_lead_min,20,389.295,331.337,478.239,407.07,388.036,341.792
